name,iata,icao,lat,lon,country,alt
Aksu Airport,AKU,ZWAK,41.262501,80.291664,China,3816
Anshan Teng'ao Airport,AOG,ZYAS,41.103523,123.857834,China,53
Anqing Tianzhushan Airport,AQG,ZSAQ,30.582222,117.050278,China,-1
Anshun Huangguoshu Airport,AVA,ZUAS,26.260555,105.873337,China,4812
Baotou Erliban Airport,BAV,ZBOW,40.559990,109.996902,China,123
Bijie Feixiong Airport,BFJ,ZUBJ,27.300278,105.301392,China,20
Beihai Fucheng Airport,BHY,ZGBH,21.539440,109.293800,China,10499
Guangzhou Baiyun International Airport,CAN,ZGGG,23.392429,113.298698,China,50
Changde Taohuayuan Airport,CGD,ZGCD,28.918880,111.640198,China,8366
Zhengzhou Xinzheng International Airport,CGO,ZHCC,34.519669,113.840797,China,495
Changchun Longjia International Airport,CGQ,ZYCC,43.996208,125.685303,China,706
Chifeng Yulong Airport,CIF,ZBCF,42.235001,118.908302,China,180
Changzhi Wangcun Airport,CIH,ZBCZ,36.247501,113.125801,China,164
Chongqing Jiangbei International Airport,CKG,ZUCK,29.719210,106.641602,China,1365
Changsha Huanghua International Airport,CSX,ZGHA,28.196667,113.220833,China,217
Chengdu Shuangliu International Airport,CTU,ZUUU,30.578520,103.946999,China,1625
Changzhou Benniu Airport,CZX,ZSCG,31.919720,119.778603,China,197
Datong Yungang Airport,DAT,ZBDT,40.055538,113.481361,China,3442
Dazhou Heshi Airport,DAX,ZUDX,31.135012,107.426888,China,-1
Dandong Langtou Airport,DDG,ZYDD,40.025551,124.286598,China,154
Shangri-La Diqing Airport,DIG,ZPDQ,27.793333,99.677330,China,10761
Dalian Zhoushuizi International Airport,DLC,ZYTL,38.965660,121.538597,China,107
Dali Airport,DLU,ZPDL,25.649401,100.319000,China,-1
Dunhuang Airport,DNH,ZLDH,40.161110,94.809158,China,9186
Dongsheng Ordos Ejin Horo Airport,DSN,ZBDS,39.849998,110.033333,China,213
Dayong Zhangjiajie Hehua Airport,DYG,ZGDY,29.107121,110.445686,China,692
Fuzhou Changle International Airport,FOC,ZSFZ,25.935061,119.663200,China,46
Haikou Meilan International Airport,HAK,ZJHK,19.934851,110.458900,China,75
Handan Airport,HDG,ZBHD,36.523888,114.430000,China,-1
Heihe Airport,HEK,ZYHE,50.171619,127.308884,China,8530
Hohhot Baita International Airport,HET,ZBHH,40.851421,111.824097,China,3556
Hefei Xinqiao International Airport,HFE,ZSOF,31.986345,116.970474,China,108
Hangzhou Xiaoshan International Airport,HGH,ZSHC,30.229500,120.434402,China,23
Huai'an Lianshui Airport,HIA,ZSSH,33.777222,119.147781,China,-1
Hailar Hulunbuir Airport,HLD,ZBLA,49.204990,119.824997,China,2169
Ulanhot Airport,HLH,ZBUL,46.194439,122.008598,China,125
Harbin Taiping International Airport,HRB,ZYHB,45.623402,126.250298,China,457
